"","n","err","class"
"358",358,0.190568878175123,3
"831",831,0.0973771183940849,3
"1612",1612,0.131414870205316,3
"2051",2051,0.0680601465361123,3
"2359",2359,0.0294546990224475,3
"2508",2508,0.0196738238916121,3
"2545",2545,0.020428551170227,3
"3248",3248,0.0112236129762228,3
"4536",4536,0.0122785489172633,3
"5025",5025,0.0196313399597971,3
"5293",5293,0.0280709550450831,3
"6161",6161,0.0185962275231547,3
"6193",6193,0.0172650807947831,3
"6779",6779,0.0130225374154164,3
"7186",7186,0.0192654285369506,3
"7487",7487,0.0110328513148052,3
"7550",7550,0.0100950610701765,3
"7668",7668,0.0111089921697517,3
"9661",9661,0.00240120129073242,3
"9700",9700,0.000607197549300859,3
"9738",9738,0.000435521033082118,3
"10646",10646,0.0167893973577831,3
"12215",12215,0.0270403975180231,3
"12360",12360,0.0280291375692914,3
"12771",12771,0.0267111941172785,3
"12868",12868,0.0278855482791137,3
"13459",13459,0.032275650044639,3
"13641",13641,0.035014110440772,3
"14142",14142,0.0376594163436461,3
"14968",14968,0.0404365266019922,3
"15387",15387,0.0356449848106742,3
"15580",15580,0.0380479274551733,3
"16317",16317,0.0420111008837747,3
"17330",17330,0.0362365780786388,3
"17580",17580,0.0397929859082207,3
"19072",19072,0.031753995173235,3
"19555",19555,0.0353937648613292,3
"19609",19609,0.0324897298557353,3
"19729",19729,0.0318431140663443,3
"20157",20157,0.027812863636161,3
"22077",22077,0.0284027081232541,3
"22448",22448,0.028122594327445,3
"22507",22507,0.0284682590728396,3
"22628",22628,0.0262165493732601,3
"22870",22870,0.0256853356654011,3
"23516",23516,0.0242093763323968,3
"23632",23632,0.0218686808606284,3
"24357",24357,0.0167991832134094,3
"24580",24580,0.0168474282866013,3
"24745",24745,0.0181956545547969,3
"25214",25214,0.0152293905944942,3
"27670",27670,0.00878218979838628,3
"27753",27753,0.00924649389281296,3
"27871",27871,0.00881775428513606,3
"28437",28437,0.01251184854198,3
"28781",28781,0.013982630691352,3
"29474",29474,0.0129523400482676,3
"29612",29612,0.0132006941529255,3
"29981",29981,0.017741865144927,3
"30520",30520,0.0172263782208117,3
"30664",30664,0.0150532651694766,3
"31847",31847,0.0205160772743184,3
"32078",32078,0.0182994628684686,3
"36152",36152,0.00746612277886653,3
"36881",36881,0.00854030480904725,3
"37534",37534,0.00862373861116384,3
"38057",38057,0.00844359685799113,3
"39301",39301,0.00981625840270343,3
"39524",39524,0.0108888160522304,3
"40451",40451,0.00856165235081233,3
"40634",40634,0.00814795090816522,3
"41164",41164,0.00598894166935646,3
"41219",41219,0.00539147893110598,3
"41532",41532,0.00596595890163714,3
"43397",43397,0.0075716327566396,3
"44773",44773,0.00641334460839302,3
"44878",44878,0.006971060504823,3
"45090",45090,0.00724337306043745,3
"45690",45690,0.00574497173254643,3
"45947",45947,0.00526577951995982,3
"46798",46798,0.0078925973365617,3
"46948",46948,0.00852883260058415,3
"47091",47091,0.00964519823350695,3
"47408",47408,0.00999486767958132,3
"47832",47832,0.0113103837447945,3
"48258",48258,0.00997350798380001,3
"49622",49622,0.0114189386385502,3
"49674",49674,0.0116556319344944,3
"50037",50037,0.0132789910237948,3
"51190",51190,0.0145912412353951,3
"51353",51353,0.014437688374693,3
"51773",51773,0.0151576273970795,3
"52344",52344,0.0154857490374848,3
"52661",52661,0.0165182852009207,3
"53240",53240,0.0171602516802558,3
"53855",53855,0.0140277023024706,3
"54179",54179,0.013703609369516,3
"56315",56315,0.0101022880983973,3
"57171",57171,0.0108800603102611,3
"61781",61781,0.0128092477993997,3
"62965",62965,0.0110648322581535,3
"63238",63238,0.0112587452557356,3
"63542",63542,0.0119332709362278,3
"63649",63649,0.0114140584832686,3
"63807",63807,0.0113764721546116,3
"65882",65882,0.0116708971776206,3
"65940",65940,0.0120892555891712,3
"67098",67098,0.0124458163882996,3
"67121",67121,0.0124888638699974,3
"68014",68014,0.0114637564916714,3
"69051",69051,0.0115239690883098,3
"69228",69228,0.0113308228690497,3
"69391",69391,0.00993923671551296,3
"70151",70151,0.0102092970218095,3
"70289",70289,0.00919114876061152,3
"70378",70378,0.00903570539393652,3
"70809",70809,0.00736834411732374,3
"70929",70929,0.00751048399782034,3
"70936",70936,0.00746868926045136,3
"71096",71096,0.00788990415850639,3
"71668",71668,0.00709484575579273,3
"72876",72876,0.00750365538158313,3
"73052",73052,0.00758814764625168,3
"73369",73369,0.00728257583428188,3
"76576",76576,0.0069182198251697,3
"76581",76581,0.00698305847837197,3
"76912",76912,0.00648818144837741,3
"76968",76968,0.00682468658730326,3
"77531",77531,0.00611016799636994,3
"77935",77935,0.00413993021381475,3
"78028",78028,0.00431060691543443,3
"78044",78044,0.00400670549932677,3
"78067",78067,0.00379226320444484,3
"78083",78083,0.00386945216602043,3
"78102",78102,0.00398486921432694,3
"78317",78317,0.00482071049513025,3
"78520",78520,0.00474258588518564,3
"78734",78734,0.00467802887520542,3
"79930",79930,0.00530988919965683,3
"80849",80849,0.00656310949255092,3
"81294",81294,0.00712394168428914,3
"82043",82043,0.00519392889093685,3
"82820",82820,0.00507200480487625,3
"82875",82875,0.00489506113092906,3
"83459",83459,0.00449469977954137,3
"83538",83538,0.00448688888990177,3
"83604",83604,0.00467997743618166,3
"83646",83646,0.00458723600727407,3
"84103",84103,0.00422110050849147,3
"84628",84628,0.00477646484814586,3
"84668",84668,0.0048954284128931,3
"84917",84917,0.00431151347553913,3
"85125",85125,0.00499780461993664,3
"86129",86129,0.00324658893564588,3
"86790",86790,0.00192966432170729,3
"87284",87284,0.00303593376105975,3
"89122",89122,0.00480050204393544,3
"89153",89153,0.00481300470935983,3
"89551",89551,0.00436575775105634,3
"89722",89722,0.00438522262801288,3
"91363",91363,0.00545147749984207,3
"91866",91866,0.00539418561399487,3
"92313",92313,0.00559312986500876,3
"92727",92727,0.00532943760436384,3
"94096",94096,0.00600118420948532,3
"94209",94209,0.0062465138835736,3
"95603",95603,0.00476974989014054,3
"95649",95649,0.00431570425021649,3
"95903",95903,0.00436887629457433,3
"95971",95971,0.00435134672520282,3
"97121",97121,0.00470999216584091,3
"97391",97391,0.00584083025645469,3
"97670",97670,0.00594057019301674,3
"98484",98484,0.00630625887245326,3
"99151",99151,0.00609298251914326,3
"99545",99545,0.00584473182451042,3
"100701",100701,0.00475633023023451,3
"101430",101430,0.00418914660806041,3
"101984",101984,0.00386420058476444,3
"102179",102179,0.00450413800399694,3
"103582",103582,0.00372954548000614,3
"104162",104162,0.00328187399899185,3
